Ext Mean,Flex Mean,Ext Var,Flex Var,Ext Freq 2,Flex Freq 2,Ext Freq 1,Flex Freq 1,Gesture
0.08,0.19,0.02,0,112.63,50.66,57.17,50.65,
0.08,0.2,0.02,0,83.5,51.8,112.63,50.66,
0.08,0.2,0.02,0,52.51,200,83.5,51.8,
0.11,0.19,0.02,0,80.27,50.75,52.51,200,
0.11,0.19,0.03,0,76.55,46.83,80.27,50.75,
0.1,0.2,0.02,0,63.53,152.05,76.55,46.83,
0.11,0.19,0.02,0,50.16,156.64,63.53,152.05,
0.06,0.2,0,0,50.94,50.69,32.31,50.61,
0.06,0.19,0,0,52.84,50.22,50.94,50.69,
0.06,0.19,0,0,48.28,51.04,52.84,50.22,
0.06,0.19,0,0,52.45,53.33,48.28,51.04,
0.06,0.19,0,0,50.05,50.25,52.45,53.33,
0.06,0.19,0,0,51.26,50.79,50.05,50.25,
0.06,0.19,0,0,106.29,50.33,51.26,50.79,
0.06,0.2,0,0,48.14,51.3,106.29,50.33,
0.06,0.2,0,0,101.23,50.53,48.14,51.3,
0.06,0.19,0,0,48.74,50.45,101.23,50.53,
0.06,0.19,0,0,51.97,50.16,48.74,50.45,
0.06,0.2,0,0,105.92,49.35,51.97,50.16,
0.06,0.21,0,0,51.31,51.08,105.92,49.35,
0.06,0.2,0,0,52.6,49.4,51.31,51.08,
0.06,0.21,0,0,57.3,51.67,52.6,49.4,
0.06,0.21,0,0,51.43,51.48,57.3,51.67,
0.06,0.21,0,0,49.71,109.9,51.43,51.48,
0.06,0.22,0,0,51.24,51.79,49.71,109.9,
0.18,0.27,0.09,0.01,49.85,75.17,51.24,51.79,
0.19,0.37,0.09,0.03,93.42,76.31,49.85,75.17,
0.08,0.37,0,0.03,57.42,81.12,93.42,76.31,
0.06,0.31,0,0.02,200,53.29,57.42,81.12,
0.06,0.27,0,0.01,43.43,73.16,200,53.29,
0.06,0.24,0,0.01,51.57,51.54,43.43,73.16,
0.06,0.26,0,0.01,37.02,32.85,51.57,51.54,
0.06,0.26,0,0.01,200,45.94,37.02,32.85,
0.14,0.28,0.08,0.02,62.99,51.74,200,45.94,
0.58,0.55,0.66,0.31,87.29,43.12,62.99,51.74,
1.16,1.14,1.35,0.76,81.83,178.55,87.29,43.12,S
1.24,1.28,1.21,0.74,94.62,190.22,81.83,178.55,S
0.95,0.89,0.63,0.33,81.7,76.01,94.62,190.22,
0.72,0.65,0.4,0.1,64.18,49.55,81.7,76.01,
0.57,0.56,0.37,0.09,196.62,138.21,64.18,49.55,
0.47,0.52,0.25,0.08,87.52,83.14,196.62,138.21,
0.49,0.52,0.26,0.08,57.89,76.22,87.52,83.14,
0.5,0.49,0.27,0.07,179.8,103.28,57.89,76.22,
0.52,0.46,0.29,0.07,46.16,100.51,179.8,103.28,
0.54,0.43,0.37,0.06,58.32,46.05,46.16,100.51,
0.47,0.35,0.35,0.03,102.3,51.12,58.32,46.05,
0.72,0.37,0.8,0.04,45.37,51.42,102.3,51.12,
1.26,0.61,1.44,0.1,88.41,128.2,45.37,51.42,P
1.28,0.83,1.06,0.14,103.66,94.77,88.41,128.2,P
1,0.81,0.63,0.1,113.91,133.87,103.66,94.77,
0.82,0.63,0.61,0.07,165.45,65.59,113.91,133.87,
0.62,0.52,0.42,0.08,51.19,107.1,165.45,65.59,
0.62,0.5,0.51,0.07,37.87,74.91,51.19,107.1,
0.64,0.47,0.55,0.05,56.65,129.24,37.87,74.91,
0.56,0.43,0.34,0.05,65.44,138.66,56.65,129.24,
0.46,0.41,0.18,0.05,45.54,45.9,65.44,138.66,
0.34,0.68,0.12,0.43,100.44,30.09,45.54,45.9,
0.52,1.64,0.38,1.58,45.86,173.16,100.44,30.09,S
0.74,1.69,0.52,1.39,75.85,63.92,45.86,173.16,S
0.8,0.95,0.47,0.4,64.73,190.74,75.85,63.92,
0.79,0.83,0.64,0.37,117.88,88.29,64.73,190.74,
0.77,0.8,0.71,0.36,58.92,191.95,117.88,88.29,
0.85,0.84,0.78,0.47,94.99,153.97,58.92,191.95,
0.89,0.84,0.75,0.49,63.76,200,94.99,153.97,
0.85,0.76,0.6,0.37,72.67,152.25,63.76,200,
0.73,0.71,0.52,0.31,37.51,114.22,72.67,152.25,
0.69,0.68,0.47,0.32,68.04,116.22,37.51,114.22,
0.66,0.61,0.35,0.21,44.4,94.81,68.04,116.22,
0.59,0.73,0.29,0.42,57.14,80.74,44.4,94.81,
0.58,1.38,0.25,0.9,91.37,88.78,57.14,80.74,R
0.56,1.61,0.15,0.82,43.48,61.69,91.37,88.78,R
0.48,1.29,0.17,0.57,130.63,36.69,43.48,61.69,R
0.4,1.22,0.17,0.75,58.14,56.32,130.63,36.69,
0.32,1.21,0.14,0.74,43.89,68.7,58.14,56.32,
0.3,1.11,0.14,0.5,44.94,48.07,43.89,68.7,
0.38,1.12,0.18,0.57,57.05,52.28,44.94,48.07,
0.44,1.14,0.18,0.57,57.75,88.98,57.05,52.28,
0.36,1.02,0.12,0.48,29.05,67.42,57.75,88.98,
0.23,0.95,0.06,0.5,66.03,45.11,29.05,67.42,
0.36,0.87,0.41,0.32,37.86,91.66,66.03,45.11,
1.06,0.96,0.98,0.51,87.21,157.3,37.86,91.66,S
1.46,1.23,1.32,0.68,61.67,113.94,87.21,157.3,S
1.14,1.11,1.06,0.47,66.89,104.29,61.67,113.94,S
0.87,0.81,0.65,0.37,54.43,134.28,66.89,104.29,
0.75,0.69,0.58,0.28,95.05,132.68,54.43,134.28,
0.75,0.69,0.55,0.24,75.05,77.33,95.05,132.68,
0.75,0.68,0.52,0.16,94.58,63.37,75.05,77.33,
0.75,0.66,0.45,0.13,92.16,52.39,94.58,63.37,
0.69,0.61,0.37,0.11,78,108.91,92.16,52.39,
0.59,0.6,0.35,0.15,75.93,49.46,78,108.91,
0.66,0.6,0.36,0.18,64.1,74.71,75.93,49.46,
0.7,0.52,0.41,0.11,83.29,55.47,64.1,74.71,
0.54,0.42,0.4,0.05,82.09,52.53,83.29,55.47,
0.64,0.9,0.62,0.57,68.81,67.02,82.09,52.53,R
0.64,1.46,0.5,0.94,96.72,69.29,68.81,67.02,R
0.4,1.36,0.1,0.79,67.79,90.3,96.72,69.29,R
0.31,1.2,0.09,0.71,37.98,134.65,67.79,90.3,
0.26,1.06,0.07,0.5,69,74.94,37.98,134.65,
0.26,0.96,0.08,0.35,30.47,91.03,69,74.94,
0.25,0.96,0.07,0.29,107.23,200,30.47,91.03,
0.23,0.94,0.07,0.27,43.49,69.1,107.23,200,
0.2,0.88,0.06,0.43,82.46,80.83,43.49,69.1,
0.34,0.79,0.5,0.35,41.66,70.46,82.46,80.83,
1.25,0.82,2.32,0.31,75.6,56.84,41.66,70.46,S
1.69,1,2.3,0.46,114.48,164,75.6,56.84,S
1.19,1.02,0.73,0.47,64.18,69.99,114.48,164,
0.84,0.9,0.4,0.44,88.22,176.42,64.18,69.99,
0.72,0.84,0.7,0.44,94.58,185.67,88.22,176.42,
0.77,0.87,0.82,0.5,79.37,63.61,94.58,185.67,
0.74,0.81,0.61,0.35,60.34,140.1,79.37,63.61,
0.71,0.74,0.61,0.24,63.57,192.57,60.34,140.1,
0.64,0.74,0.47,0.36,83.7,200,63.57,192.57,
0.61,0.79,0.4,0.44,51.09,85.99,83.7,200,
0.58,0.64,0.32,0.21,91.42,37.61,51.09,85.99,
0.51,0.54,0.35,0.49,37.15,59.04,91.42,37.61,
0.51,1.06,0.28,0.83,96.34,66.89,37.15,59.04,R
0.43,1.18,0.1,0.41,126.69,62.98,96.34,66.89,R
0.32,0.79,0.1,0.13,78.95,49.19,126.69,62.98,
0.25,0.68,0.08,0.11,68.19,73.29,78.95,49.19,
0.2,0.61,0.05,0.09,100.61,83.59,68.19,73.29,
0.19,0.58,0.05,0.09,27.43,53.1,100.61,83.59,
0.2,0.66,0.06,0.2,51.29,84.19,27.43,53.1,
0.2,0.73,0.07,0.24,87.3,81.37,51.29,84.19,
0.2,0.74,0.07,0.25,69.73,127.94,87.3,81.37,
0.18,0.8,0.05,0.38,56.29,74.38,69.73,127.94,
0.48,0.75,0.61,0.27,48.35,114.35,56.29,74.38,
1.01,0.89,1.01,0.9,37.82,42.55,48.35,114.35,S
1.16,1.33,0.88,1.08,92.7,61.09,37.82,42.55,S
1.07,1.24,0.91,0.39,48.93,45.55,92.7,61.09,S
0.91,0.87,0.7,0.3,137.55,132.79,48.93,45.55,
0.7,0.82,0.47,0.35,86.7,126.02,137.55,132.79,
0.61,0.78,0.38,0.33,43.27,70.23,86.7,126.02,
0.6,0.72,0.38,0.26,30.53,152.59,43.27,70.23,
0.72,0.74,0.66,0.27,65.37,115.15,30.53,152.59,
0.78,0.78,0.71,0.3,78.47,105.43,65.37,115.15,
0.7,0.78,0.51,0.34,62.3,117.84,78.47,105.43,
0.51,0.55,0.28,0.18,78.53,56.04,62.3,117.84,
0.39,0.46,0.15,0.15,59.13,52.59,78.53,56.04,
0.41,0.74,0.13,0.26,165.38,94.39,59.13,52.59,R
0.38,0.87,0.08,0.19,70.37,141.24,165.38,94.39,R
0.34,0.86,0.1,0.23,54.6,85.23,70.37,141.24,R
0.29,0.79,0.1,0.28,38.33,103.58,54.6,85.23,
0.24,0.78,0.08,0.29,80.45,70.36,38.33,103.58,
0.2,0.84,0.06,0.34,74.58,113.34,80.45,70.36,
0.18,0.93,0.06,0.43,200,96.97,74.58,113.34,
0.18,0.93,0.05,0.38,32.96,99.63,200,96.97,
0.18,0.89,0.07,0.46,87.02,81.99,32.96,99.63,
0.66,0.85,0.91,0.41,82.16,63.46,87.02,81.99,
1.18,1.12,1.33,0.91,113.36,126.28,82.16,63.46,S
1.17,1.41,0.78,1.11,85.35,160.29,113.36,126.28,S
0.99,1.12,0.62,0.48,86.18,174.94,85.35,160.29,
0.9,0.84,0.67,0.41,44.23,191.55,86.18,174.94,
0.89,0.78,0.76,0.47,56.49,151.39,44.23,191.55,
0.84,0.77,0.78,0.4,96.02,159.47,56.49,151.39,
0.84,0.75,0.55,0.24,122.18,142.84,96.02,159.47,
0.72,0.71,0.34,0.3,57.96,106.13,122.18,142.84,
0.7,0.7,0.64,0.33,107.74,58.53,57.96,106.13,
0.81,0.73,0.83,0.26,75.79,101.34,107.74,58.53,
0.66,0.57,0.5,0.15,68.54,49.67,75.79,101.34,
0.69,0.36,0.6,0.01,54.98,43.61,68.54,49.67,
0.91,0.43,0.86,0.03,58.9,183.77,54.98,43.61,P
0.8,0.55,0.6,0.05,43.32,91.74,58.9,183.77,P
0.64,0.52,0.43,0.05,200,166.02,43.32,91.74,
0.66,0.43,0.45,0.04,84.66,38.22,200,166.02,
0.67,0.41,0.38,0.05,92.55,94.71,84.66,38.22,
0.65,0.42,0.4,0.06,57.88,75.76,92.55,94.71,
0.62,0.42,0.41,0.05,95.88,76.77,57.88,75.76,
0.56,0.42,0.38,0.05,54.7,69.23,95.88,76.77,
0.61,0.4,0.42,0.04,83.31,101.57,54.7,69.23,
0.49,0.31,0.24,0.02,86.56,31.27,83.31,101.57,
0.32,0.4,0.14,0.15,37.14,62.89,86.56,31.27,
0.4,1,0.17,0.45,71.49,64.93,37.14,62.89,R
0.44,1.34,0.12,0.49,93.6,136.78,71.49,64.93,R
0.34,1.17,0.08,0.47,81,90.22,93.6,136.78,R
0.25,1.05,0.05,0.55,112.93,120.82,81,90.22,
0.2,1,0.06,0.57,33.96,83.17,112.93,120.82,
0.22,1.03,0.08,0.58,132.62,115.21,33.96,83.17,
0.21,1,0.07,0.46,129.5,87.94,132.62,115.21,
0.22,1,0.08,0.49,102,99.8,129.5,87.94,
0.24,1.03,0.1,0.58,61.49,146.86,102,99.8,
0.21,1.05,0.11,0.6,49.16,120.94,61.49,146.86,
0.6,0.95,0.73,0.48,83.09,74.2,49.16,120.94,
1.18,1.23,1.21,0.92,69.06,146.78,83.09,74.2,S
1.18,1.35,0.97,1.04,101.78,178.98,69.06,146.78,S
0.86,0.97,0.67,0.52,88.19,73.24,101.78,178.98,
0.73,0.84,0.52,0.45,62.39,101.18,88.19,73.24,
0.74,0.82,0.59,0.41,69.35,153.64,62.39,101.18,
0.64,0.82,0.48,0.38,113.08,114.27,69.35,153.64,
0.61,0.79,0.43,0.34,93.03,154.56,113.08,114.27,
0.64,0.76,0.49,0.32,82.15,122.28,93.03,154.56,
0.68,0.76,0.54,0.32,49.26,200,82.15,122.28,
0.68,0.73,0.64,0.3,58.63,159.25,49.26,200,
0.54,0.57,0.44,0.14,54.23,49.89,58.63,159.25,
0.39,0.55,0.19,0.25,77.38,38.06,54.23,49.89,
0.33,0.84,0.12,0.4,75.36,45.2,77.38,38.06,
0.33,1.06,0.1,0.36,63,88.53,75.36,45.2,R
0.31,0.98,0.1,0.37,170.98,139.51,63,88.53,R
0.26,0.88,0.07,0.29,102.36,30.36,170.98,139.51,
0.21,0.9,0.07,0.32,94.61,96.96,102.36,30.36,
0.19,0.96,0.07,0.44,65.17,87.88,94.61,96.96,
0.22,0.94,0.08,0.44,127.83,69.5,65.17,87.88,
0.22,0.87,0.08,0.31,121.43,66.94,127.83,69.5,
0.19,0.87,0.05,0.34,84.33,123.31,121.43,66.94,
0.16,0.89,0.04,0.42,66.85,51.73,84.33,123.31,
0.43,0.74,0.76,0.22,76.54,124.21,66.85,51.73,
1.34,0.96,2.41,0.45,95.03,50.29,76.54,124.21,S
1.61,1.25,2,0.62,52.8,99.23,95.03,50.29,S
1.08,1.09,0.81,0.37,77.14,128.33,52.8,99.23,
0.93,0.97,0.8,0.41,95.21,67.73,77.14,128.33,
0.93,0.95,0.76,0.41,52.06,134.18,95.21,67.73,
0.99,0.94,1.02,0.5,64.92,200,52.06,134.18,
0.97,0.89,0.89,0.51,102.43,178.83,64.92,200,
0.85,0.87,0.67,0.43,48.62,102.02,102.43,178.83,
0.79,0.87,0.63,0.44,138.78,74.51,48.62,102.02,
0.79,0.85,0.82,0.39,76.79,116.24,138.78,74.51,
0.85,0.81,0.87,0.34,88.4,134.04,76.79,116.24,
0.69,0.65,0.37,0.18,76.98,76.3,88.4,134.04,
0.71,0.42,0.78,0.05,65.4,51.39,76.98,76.3,
0.92,0.44,1.08,0.03,74.49,150.61,65.4,51.39,P
0.82,0.55,0.61,0.04,102.54,124.85,74.49,150.61,P
0.65,0.48,0.47,0.04,86.88,50.65,102.54,124.85,
0.61,0.39,0.5,0.03,133.48,131.48,86.88,50.65,
0.73,0.37,0.65,0.03,50.81,95.73,133.48,131.48,
0.72,0.36,0.51,0.04,26.15,74.55,50.81,95.73,
0.58,0.36,0.32,0.03,84.25,97.17,26.15,74.55,
0.55,0.37,0.35,0.04,92.77,98.11,84.25,97.17,
0.49,0.33,0.34,0.03,84.8,154.59,92.77,98.11,
0.39,0.33,0.2,0.14,86.11,119.66,84.8,154.59,
0.44,0.71,0.29,0.43,83.65,56.44,86.11,119.66,R
0.47,1.14,0.32,0.44,120.5,87.28,83.65,56.44,R
0.35,1.13,0.09,0.31,94.36,95.53,120.5,87.28,R
0.28,0.93,0.07,0.29,165.65,83.72,94.36,95.53,
0.22,0.79,0.06,0.23,108.1,71.38,165.65,83.72,
0.2,0.7,0.07,0.18,82.47,71.07,108.1,71.38,
0.17,0.73,0.05,0.27,47.24,137.55,82.47,71.07,
0.16,0.92,0.04,0.45,200,90.33,47.24,137.55,
0.18,0.95,0.06,0.42,114.07,176.33,200,90.33,
0.18,0.97,0.05,1.07,85.92,108.3,114.07,176.33,
0.58,1.26,1.03,1.01,92.35,82.77,85.92,108.3,
1.52,1.39,2.13,0.62,58.71,186.99,92.35,82.77,S
1.62,1.31,1.42,0.91,96.66,200,58.71,186.99,S
1,1.06,0.56,0.69,69.18,165.38,96.66,200,
0.76,0.83,0.53,0.49,50.4,48.78,69.18,165.38,
0.73,0.83,0.48,0.35,43.47,175.92,50.4,48.78,
0.62,0.81,0.38,0.3,200,132.85,43.47,175.92,
0.59,0.75,0.5,0.33,81.87,93.8,200,132.85,
0.71,0.71,0.67,0.27,62.68,115.83,81.87,93.8,
0.7,0.67,0.64,0.18,82.27,172.12,62.68,115.83,
0.68,0.65,0.53,0.2,85.94,116.08,82.27,172.12,
0.54,0.58,0.29,0.18,111.68,153.35,85.94,116.08,
0.36,0.44,0.14,0.07,107.58,145.65,111.68,153.35,
0.59,0.4,0.52,0.03,84.17,110.28,107.58,145.65,P
0.78,0.52,0.65,0.05,200,79.41,84.17,110.28,P
0.74,0.58,0.42,0.04,91.09,140.12,200,79.41,P
0.66,0.5,0.43,0.04,65.02,200,91.09,140.12,
0.57,0.43,0.39,0.04,55.1,125.11,65.02,200,
0.58,0.39,0.41,0.04,69.66,58.78,55.1,125.11,
0.6,0.38,0.47,0.04,72.8,57.12,69.66,58.78,
0.56,0.38,0.39,0.04,65.88,51.48,72.8,57.12,
0.48,0.37,0.28,0.02,96.68,81.12,65.88,51.48,
0.36,0.3,0.15,0.01,74.97,18.26,96.68,81.12,
0.34,0.49,0.13,0.28,54.39,64.55,74.97,18.26,
0.43,0.98,0.13,0.37,152.82,42.6,54.39,64.55,R
0.42,1.14,0.07,0.2,168.47,45.43,152.82,42.6,R
0.31,0.96,0.07,0.2,64.2,59.5,168.47,45.43,
0.26,0.84,0.1,0.2,87.41,83.04,64.2,59.5,
0.24,0.75,0.09,0.17,115.62,50.48,87.41,83.04,
0.22,0.67,0.08,0.15,26.8,115.03,115.62,50.48,
0.24,0.67,0.08,0.16,49.82,85.46,26.8,115.03,
0.2,0.61,0.07,0.14,101.43,100.12,49.82,85.46,
0.18,0.54,0.06,0.12,98.05,152.07,101.43,100.12,
0.17,0.56,0.06,0.12,63.01,60.9,98.05,152.07,
0.15,0.61,0.04,0.14,59.51,127.31,63.01,60.9,
0.24,0.63,0.38,0.11,55,93.39,59.51,127.31,
0.98,0.66,1.67,0.06,62.99,62.13,55,93.39,P
1.47,0.81,1.98,0.04,93.89,143.23,62.99,62.13,P
1.1,0.82,0.94,0.04,61.94,108.51,93.89,143.23,P
0.9,0.63,0.6,0.05,45.84,149.82,61.94,108.51,
0.84,0.46,0.56,0.03,43.09,183.23,45.84,149.82,
0.69,0.37,0.36,0.03,25.64,89.94,43.09,183.23,
0.6,0.35,0.31,0.04,101.72,107.7,25.64,89.94,
0.55,0.34,0.31,0.03,84.63,144.98,101.72,107.7,
0.5,0.33,0.26,0.03,71.79,169.85,84.63,144.98,
0.51,0.33,0.28,0.03,31.91,152.33,71.79,169.85,
0.41,0.28,0.18,0.01,125.21,37,31.91,152.33,
0.36,0.61,0.14,0.31,39.28,50.51,125.21,37,
0.4,1.09,0.15,0.47,48.17,58.38,39.28,50.51,R
0.33,1.17,0.07,0.35,126.33,74.83,48.17,58.38,R
0.26,1,0.08,0.31,115.57,52.88,126.33,74.83,
0.25,0.81,0.09,0.2,130.81,127.15,115.57,52.88,
0.23,0.69,0.07,0.14,95.57,77.61,130.81,127.15,
0.18,0.67,0.05,0.16,43.64,49.85,95.57,77.61,
0.17,0.7,0.05,0.18,126.78,62.78,43.64,49.85,
0.19,0.74,0.07,0.21,82.76,52.68,126.78,62.78,
0.2,0.73,0.08,0.2,82.32,70.35,82.76,52.68,
0.3,0.72,0.34,0.19,92.66,98.47,82.32,70.35,
1.11,0.82,1.86,0.12,45.03,81.81,92.66,98.47,P
1.64,0.98,1.98,0.03,102.29,189.22,45.03,81.81,P
1.13,0.98,0.61,0.03,43.8,122.84,102.29,189.22,P
0.81,0.73,0.52,0.04,43.6,103.93,43.8,122.84,
0.78,0.54,0.57,0.05,91.73,96.55,43.6,103.93,
0.71,0.45,0.45,0.04,51.28,129.28,91.73,96.55,
0.63,0.41,0.38,0.04,46.86,51.23,51.28,129.28,
0.7,0.39,0.47,0.05,82.27,58.19,46.86,51.23,
0.83,0.37,0.6,0.04,35.62,120.44,82.27,58.19,
0.76,0.35,0.56,0.03,69.69,53.29,35.62,120.44,
0.62,0.32,0.41,0.02,74.56,77.97,69.69,53.29,
0.46,0.39,0.24,0.17,50.26,82.49,74.56,77.97,
0.58,1.02,0.62,0.8,93.25,132.69,50.26,82.49,
0.85,1.3,1.01,0.81,70.14,96.79,93.25,132.69,S
0.86,0.96,0.73,0.38,53.09,151.19,70.14,96.79,S
0.85,0.83,0.66,0.35,70.3,110.36,53.09,151.19,
0.89,0.72,0.76,0.29,69.74,200,70.3,110.36,
0.8,0.62,0.53,0.18,71.8,77.04,69.74,200,
0.68,0.6,0.36,0.11,49.49,83.27,71.8,77.04,
0.7,0.58,0.55,0.15,50.83,86.93,49.49,83.27,
0.7,0.51,0.54,0.13,66.36,196.38,50.83,86.93,
0.59,0.48,0.27,0.11,32.57,133.53,66.36,196.38,
0.44,0.42,0.2,0.06,65.27,56.75,32.57,133.53,
0.66,0.4,0.6,0.04,78.05,132.57,65.27,56.75,
1.02,0.52,1.02,0.05,74.55,57.2,78.05,132.57,P
0.91,0.62,0.83,0.05,119.5,49.79,74.55,57.2,P
0.72,0.57,0.51,0.05,85.93,125.55,119.5,49.79,
0.69,0.45,0.46,0.04,48.96,128.66,85.93,125.55,
0.62,0.39,0.38,0.04,69.63,127.04,48.96,128.66,
0.62,0.37,0.4,0.04,77.68,164.63,69.63,127.04,
0.6,0.35,0.4,0.03,58.79,51.84,77.68,164.63,
0.57,0.36,0.4,0.04,71.76,61.78,58.79,51.84,
0.55,0.34,0.35,0.02,83.98,50.87,71.76,61.78,
0.33,0.36,0.12,0.04,55.1,69.11,83.98,50.87,
0.39,0.9,0.38,1.16,56.19,56.16,55.1,69.11,
0.88,1.42,0.87,1.47,64.91,89.77,56.19,56.16,S
1,1.21,0.88,0.65,67.2,118.86,64.91,89.77,S
0.87,0.93,0.79,0.56,62.5,88.79,67.2,118.86,
0.84,0.82,0.7,0.43,71.68,179.06,62.5,88.79,
0.9,0.74,0.73,0.38,32.34,94.99,71.68,179.06,
0.86,0.7,0.69,0.34,145.18,109.93,32.34,94.99,
0.62,0.7,0.42,0.27,92.53,89.1,145.18,109.93,
0.61,0.69,0.5,0.21,96.33,171.88,92.53,89.1,
0.8,0.67,0.79,0.19,69.37,190.83,96.33,171.88,
0.88,0.66,0.72,0.22,70.94,104.46,69.37,190.83,
0.61,0.51,0.35,0.12,101.83,44.08,70.94,104.46,
0.46,0.67,0.21,0.24,44.01,84.22,101.83,44.08,
0.46,1.03,0.17,0.42,94.24,31.93,44.01,84.22,R
0.35,1.07,0.11,0.35,61.89,63.85,94.24,31.93,R
0.31,1.02,0.1,0.29,63.1,71.86,61.89,63.85,
0.27,1.02,0.09,0.38,44.28,94.39,63.1,71.86,
0.23,0.98,0.07,0.41,35.82,89.41,44.28,94.39,
0.28,0.89,0.12,0.37,76.18,115.45,35.82,89.41,
0.29,0.84,0.14,0.36,107.48,122.36,76.18,115.45,
0.22,0.85,0.09,0.38,101.44,80.37,107.48,122.36,
0.19,0.9,0.05,0.42,75.77,97.88,101.44,80.37,
0.18,0.9,0.06,0.34,87.15,85.22,75.77,97.88,
0.17,0.91,0.05,0.43,127.29,94,87.15,85.22,
0.28,0.83,0.22,0.35,37.47,41.43,127.29,94,
1.02,0.79,1.58,0.26,45.22,88.57,37.47,41.43,S
1.47,1.03,1.81,0.51,66.3,164.61,45.22,88.57,S
1.16,1.14,0.88,0.61,82.68,49.94,66.3,164.61,S
0.94,1.07,0.74,0.49,97.35,115.76,82.68,49.94,
0.81,0.99,0.61,0.39,90.01,58.78,97.35,115.76,
0.73,0.85,0.52,0.38,68.17,133.02,90.01,58.78,
0.66,0.78,0.4,0.34,84.04,152.15,68.17,133.02,
0.62,0.75,0.37,0.28,84.69,183.22,84.04,152.15,
0.74,0.74,0.57,0.3,31.17,83.08,84.69,183.22,
0.69,0.59,0.51,0.18,57.59,50.52,31.17,83.08,
0.44,0.43,0.2,0.07,50.1,40.25,57.59,50.52,
0.38,0.69,0.15,0.29,64.26,93.67,50.1,40.25,
0.39,1,0.11,0.46,57.48,37.89,64.26,93.67,
0.41,1.07,0.29,0.51,69.19,73.23,57.48,37.89,R
0.51,1,0.35,0.47,53.35,58.21,69.19,73.23,R
0.61,0.93,0.25,0.4,83.57,54.93,53.35,58.21,R
0.57,0.94,0.27,0.44,66.82,57.25,83.57,54.93,
0.42,0.94,0.18,0.42,56.31,114.23,66.82,57.25,
0.33,0.94,0.12,0.36,51.7,107.38,56.31,114.23,
0.3,0.93,0.09,0.35,65.91,78.61,51.7,107.38,
0.31,0.9,0.15,0.39,34.26,166.36,65.91,78.61,
0.34,0.88,0.14,0.26,70.32,95.76,34.26,166.36,
0.29,0.83,0.06,0.06,37.55,139.68,70.32,95.76,
0.2,0.73,0.06,0.02,51.14,50.06,37.55,139.68,
0.15,0.53,0.04,0.01,28.37,138.91,51.14,50.06,
0.13,0.36,0.02,0.01,63.44,47.87,28.37,138.91,
0.13,0.3,0.03,0,63.28,51.44,63.44,47.87,
0.12,0.26,0.03,0,63.91,51.34,63.28,51.44,
0.11,0.23,0.02,0,43.3,51.62,63.91,51.34,
0.1,0.21,0.03,0,51.41,50.46,43.3,51.62,
0.1,0.21,0.02,0,71.19,50.3,51.41,50.46,
0.1,0.2,0.02,0,56.16,51.08,71.19,50.3,
0.1,0.2,0.02,0,89.62,50.69,56.16,51.08,
0.11,0.2,0.02,0,78.33,50.09,89.62,50.69,
0.12,0.2,0.02,0,51.44,51.6,78.33,50.09,
0.12,0.2,0.02,0,91.06,52.96,51.44,51.6,