,,Ext Raw,Ext Env,Flex Raw,Flex Env,,,,,,,,,,
,,2.5,0.06,5.44,3.2,,2.5,0.06,5.44,3.2,,2.54,0.27,5.48,3.44
,,2.5,0.06,5.49,3.19,,2.5,0.06,5.49,3.19,,2.63,0.3,5.49,3.44
,,2.54,0.06,5.46,3.19,,2.54,0.06,5.46,3.19,,1.73,0.35,5.41,3.46
,,2.47,0.06,5.48,3.2,,2.47,0.06,5.48,3.2,,3.11,0.37,5.48,3.49
,,2.43,0.06,5.51,3.21,,2.43,0.06,5.51,3.21,,2.53,0.42,5.42,3.52
,,2.51,0.07,5.44,3.2,,2.51,0.07,5.44,3.2,,2.72,0.39,5.45,3.56
,,2.48,0.07,5.5,3.2,,2.48,0.07,5.5,3.2,,2.44,0.35,5.44,3.59
,,2.54,0.06,5.46,3.2,,2.54,0.06,5.46,3.2,,2.55,0.3,5.47,3.63
,,2.46,0.06,5.46,3.2,,2.46,0.06,5.46,3.2,,2.54,0.27,5.54,3.65
,,2.42,0.06,5.46,3.21,,2.42,0.06,5.46,3.21,,2.17,0.28,5.46,3.66
,,2.49,0.06,5.46,3.2,,2.49,0.06,5.46,3.2,,2.37,0.3,5.55,3.68
,,2.52,0.07,5.49,3.21,,2.52,0.07,5.49,3.21,,2.56,0.26,5.41,3.67
,,2.54,0.07,5.45,3.2,,2.54,0.07,5.45,3.2,,2.45,0.24,5.37,3.69
,,2.47,0.06,5.45,3.2,,2.47,0.06,5.45,3.2,,2.61,0.25,5.5,3.72
,,2.54,0.07,5.47,3.2,,2.54,0.07,5.47,3.2,,2.64,0.24,5.44,3.74
,,2.43,0.06,5.44,3.2,,2.43,0.06,5.44,3.2,,2.74,0.22,5.53,3.74
,,2.48,0.06,5.4,3.2,,2.48,0.06,5.4,3.2,,2.59,0.24,5.44,3.73
,,2.45,0.06,5.49,3.21,,2.45,0.06,5.49,3.21,,2.84,0.24,5.45,3.74
,,2.48,0.06,5.46,3.21,,2.48,0.06,5.46,3.21,,2.11,0.29,5.45,3.73
,,2.58,0.06,5.51,3.21,,2.58,0.06,5.51,3.21,,2.53,0.3,5.46,3.75
,,2.5,0.07,5.53,3.24,,2.5,0.07,5.53,3.24,,2.54,0.26,5.51,3.76
,,2.51,0.06,5.49,3.24,,2.51,0.06,5.49,3.24,,2.5,0.25,5.4,3.77
,,2.49,0.06,5.47,3.23,,2.49,0.06,5.47,3.23,,2.22,0.24,5.35,3.79
,,2.46,0.07,5.48,3.23,,2.46,0.07,5.48,3.23,,2.29,0.24,5.46,3.79
,,2.63,0.06,5.46,3.23,,2.63,0.06,5.46,3.23,,2.39,0.24,5.45,3.78
,,2.51,0.07,5.45,3.23,,2.51,0.07,5.45,3.23,,2.49,0.23,5.51,3.78
,,2.49,0.06,5.5,3.22,,2.49,0.06,5.5,3.22,,2.46,0.25,5.38,3.76
,,2.47,0.06,5.46,3.21,,2.47,0.06,5.46,3.21,,2.9,0.27,5.52,3.77
,,2.48,0.06,5.41,3.22,,2.48,0.06,5.41,3.22,,2.58,0.41,5.49,3.77
,,2.53,0.07,5.49,3.23,,2.53,0.07,5.49,3.23,,2.42,0.39,5.41,3.79
,,2.57,0.07,5.47,3.22,,2.57,0.07,5.47,3.22,,2.47,0.35,5.49,3.81
,,2.45,0.07,5.4,3.22,,2.45,0.07,5.4,3.22,,2.57,0.3,5.42,3.78
,,2.62,0.07,5.51,3.26,,2.62,0.07,5.51,3.26,,2.46,0.27,5.46,3.79
,,2.54,0.07,5.44,3.24,,2.54,0.07,5.44,3.24,,2.54,0.24,5.48,3.79
,,2.38,0.07,5.45,3.23,,2.38,0.07,5.45,3.23,,2.16,0.3,5.47,3.78
,,2.68,0.06,5.48,3.22,,2.68,0.06,5.48,3.22,,2.23,0.31,5.5,3.78
,,2.5,0.07,5.44,3.22,,2.5,0.07,5.44,3.22,,2.48,0.34,5.39,3.79
,,2.44,0.07,5.46,3.23,,2.44,0.07,5.46,3.23,,2.41,0.3,5.5,3.79
,,2.52,0.06,5.5,3.22,,2.52,0.06,5.5,3.22,,2.44,0.28,5.56,3.79
,,2.47,0.06,5.46,3.22,,2.47,0.06,5.46,3.22,,2.58,0.25,5.47,3.76
,,2.5,0.07,5.48,3.22,,2.5,0.07,5.48,3.22,,2.47,0.22,5.48,3.76
,,2.44,0.07,5.49,3.21,,2.44,0.07,5.49,3.21,,2.52,0.2,5.45,3.74
,,2.49,0.07,5.46,3.21,,2.49,0.07,5.46,3.21,,1.92,0.24,5.47,3.74
,,2.48,0.07,5.43,3.21,,2.48,0.07,5.43,3.21,,2.61,0.32,5.51,3.75
,,2.51,0.07,5.44,3.2,,2.51,0.07,5.44,3.2,,2.5,0.28,5.46,3.73
,,2.55,0.07,5.46,3.21,,2.55,0.07,5.46,3.21,,2.34,0.25,5.51,3.71
,,2.43,0.06,5.48,3.2,,2.43,0.06,5.48,3.2,,2.54,0.26,5.39,3.68
,,2.49,0.06,5.49,3.22,,2.49,0.06,5.49,3.22,,2.35,0.24,5.45,3.69
,,2.53,0.06,5.42,3.21,,2.53,0.06,5.42,3.21,,2.44,0.24,5.47,3.68
,,2.52,0.06,5.42,3.2,,2.52,0.06,5.42,3.2,,2.69,0.26,5.43,3.69
,,2.72,0.05,5.49,3.2,,2.72,0.05,5.49,3.2,,2.6,0.26,5.5,3.72
,,2.49,0.06,5.42,3.2,,2.49,0.06,5.42,3.2,,2.47,0.25,5.44,3.71
,,2.56,0.06,5.47,3.19,,2.56,0.06,5.47,3.19,,2.43,0.24,5.48,3.7
,,2.44,0.06,5.47,3.2,,2.44,0.06,5.47,3.2,,2.46,0.22,5.48,3.7
,,2.5,0.07,5.47,3.18,,2.5,0.07,5.47,3.18,,2.68,0.23,5.5,3.7
,,2.44,0.07,5.46,3.18,,2.44,0.07,5.46,3.18,,2.61,0.31,5.46,3.69
,,2.5,0.07,5.45,3.18,,2.5,0.07,5.45,3.18,,2.29,0.33,5.47,3.7
,,2.67,0.06,5.52,3.19,,2.67,0.06,5.52,3.19,,2.46,0.33,5.48,3.72
,,2.4,0.07,5.45,3.18,,2.4,0.07,5.45,3.18,,2.46,0.31,5.44,3.7
,,2.67,0.07,5.49,3.19,,2.67,0.07,5.49,3.19,,2.56,0.28,5.45,3.69
,,2.53,0.06,5.47,3.18,,2.53,0.06,5.47,3.18,,2.74,0.25,5.48,3.69
,,2.37,0.07,5.46,3.18,,2.37,0.07,5.46,3.18,,2.4,0.33,5.46,3.67
,,2.48,0.07,5.47,3.18,,2.48,0.07,5.47,3.18,,2.46,0.32,5.43,3.67
,,2.51,0.07,5.46,3.18,,2.51,0.07,5.46,3.18,,2.53,0.31,5.45,3.69
,,2.48,0.06,5.47,3.18,,2.48,0.06,5.47,3.18,,2.51,0.28,5.48,3.68
,,2.5,0.07,5.47,3.18,,2.5,0.07,5.47,3.18,,2.46,0.24,5.46,3.66
,,2.5,0.06,5.45,3.18,,2.5,0.06,5.45,3.18,,2.71,0.25,5.49,3.65
,,2.54,0.06,5.47,3.17,,2.54,0.06,5.47,3.17,,2.51,0.3,5.49,3.63
,,2.47,0.06,5.44,3.18,,2.47,0.06,5.44,3.18,,2.24,0.38,5.52,3.64
,,2.53,0.06,5.52,3.18,,2.53,0.06,5.52,3.18,,2.57,0.37,5.46,3.63
,,2.65,0.06,5.48,3.17,,2.65,0.06,5.48,3.17,,2.39,0.34,5.51,3.63
,,2.58,0.06,5.47,3.17,,2.58,0.06,5.47,3.17,,2.45,0.31,5.49,3.61
,,2.48,0.06,5.46,3.18,,2.48,0.06,5.46,3.18,,2.72,0.3,5.44,3.59
,,2.48,0.06,5.48,3.18,,2.48,0.06,5.48,3.18,,2.42,0.37,5.47,3.56
,,2.52,0.06,5.44,3.17,,2.52,0.06,5.44,3.17,,2.33,0.35,5.46,3.55
,,2.75,0.07,5.48,3.17,,2.75,0.07,5.48,3.17,,2.52,0.35,5.48,3.55
,,2.52,0.06,5.47,3.17,,2.52,0.06,5.47,3.17,,2.48,0.3,5.46,3.54
,,2.49,0.05,5.47,3.17,,2.49,0.05,5.47,3.17,,2.58,0.31,5.46,3.52
,,2.48,0.05,5.46,3.18,,2.48,0.05,5.46,3.18,,3.08,0.31,5.5,3.51
,,2.48,0.06,5.43,3.17,,2.48,0.06,5.43,3.17,,2.08,0.4,5.46,3.49
,,2.59,0.06,5.47,3.18,,2.59,0.06,5.47,3.18,,2.62,0.44,5.45,3.47
,,2.53,0.06,5.47,3.18,,2.53,0.06,5.47,3.18,,2.88,0.42,5.48,3.47
,,2.49,0.06,5.48,3.17,,2.49,0.06,5.48,3.17,,2.67,0.48,5.48,3.46
,,2.51,0.06,5.44,3.17,,2.51,0.06,5.44,3.17,,2.59,0.43,5.48,3.44
,,2.51,0.07,5.47,3.17,,2.51,0.07,5.47,3.17,,2.61,0.49,5.45,3.41
,,2.56,0.06,5.45,3.16,,2.56,0.06,5.45,3.16,,2.81,0.54,5.46,3.41
,,2.59,0.07,5.42,3.17,,2.59,0.07,5.42,3.17,,2.52,0.52,5.46,3.38
,,2.58,0.07,5.5,3.18,,2.58,0.07,5.5,3.18,,2.49,0.48,5.46,3.38
,,2.54,0.06,5.44,3.18,,2.54,0.06,5.44,3.18,,2.48,0.43,5.46,3.37
,,2.48,0.07,5.45,3.18,,2.48,0.07,5.45,3.18,,2.57,0.39,5.46,3.35
,,2.7,0.07,5.49,3.18,,2.7,0.07,5.49,3.18,,2.35,0.35,5.48,3.32
,,2.49,0.06,5.46,3.17,,2.49,0.06,5.46,3.17,,2.63,0.33,5.5,3.31
,,2.44,0.06,5.43,3.17,,2.44,0.06,5.43,3.17,,2.54,0.28,5.47,3.29
,,2.46,0.06,5.41,3.17,,2.46,0.06,5.41,3.17,,2.54,0.25,5.51,3.28
,,2.5,0.06,5.47,3.17,,2.5,0.06,5.47,3.17,,2.59,0.31,5.53,3.27
,,2.44,0.07,5.45,3.17,,2.44,0.07,5.45,3.17,,2.57,0.34,5.47,3.24
,,2.63,0.07,5.49,3.17,,2.63,0.07,5.49,3.17,,2.37,0.37,5.47,3.24
,,2.49,0.06,5.45,3.18,,2.49,0.06,5.45,3.18,,2.39,0.42,5.48,3.23
,,2.67,0.06,5.49,3.19,,2.67,0.06,5.49,3.19,,2.57,0.39,5.46,3.22
,,2.45,0.06,5.51,3.19,,2.45,0.06,5.51,3.19,,2.52,0.34,5.44,3.21
,,2.52,0.06,5.44,3.19,,2.52,0.06,5.44,3.19,,2.78,0.32,5.44,3.21
,,2.48,0.06,5.47,3.19,,2.48,0.06,5.47,3.19,,1.75,0.64,5.35,3.23
,,2.64,0.06,5.48,3.19,,2.64,0.06,5.48,3.19,,2.46,0.73,5.49,3.26
,,2.58,0.06,5.46,3.19,,2.58,0.06,5.46,3.19,,2.54,0.78,5.52,3.26
,,2.54,0.06,5.43,3.19,,2.54,0.06,5.43,3.19,,2.65,0.8,5.6,3.3
,,2.49,0.06,5.46,3.19,,2.49,0.06,5.46,3.19,,2.85,0.84,4.94,3.48
,,2.5,0.06,5.49,3.19,,2.5,0.06,5.49,3.19,,1.54,0.88,5.48,3.55
,,2.55,0.06,5.45,3.18,,2.55,0.06,5.45,3.18,,2.64,0.9,5.74,3.65
,,2.61,0.07,5.45,3.19,,2.61,0.07,5.45,3.19,,3.2,1.07,5.78,3.82
,,2.45,0.06,5.45,3.18,,2.45,0.06,5.45,3.18,,3.02,1.26,5.75,3.86
,,2.46,0.06,5.45,3.18,,2.46,0.06,5.45,3.18,,1.83,1.12,5.39,3.79
,,2.66,0.06,5.46,3.19,,2.66,0.06,5.46,3.19,,2.35,1.2,5.33,3.94
,,2.49,0.06,5.48,3.2,,2.49,0.06,5.48,3.2,,3.31,1.26,5.66,3.93
,,2.49,0.07,5.42,3.21,,2.49,0.07,5.42,3.21,,1.21,1.35,5.05,4.08
,,2.53,0.06,5.46,3.23,,2.53,0.06,5.46,3.23,,2.9,1.56,6.04,4.39
,,2.53,0.06,5.48,3.23,,2.53,0.06,5.48,3.23,,3.22,1.73,5.51,4.55
,,2.42,0.07,5.45,3.23,,2.42,0.07,5.45,3.23,,4.15,1.71,6.14,4.46
,,2.52,0.07,5.46,3.22,,2.52,0.07,5.46,3.22,,3.81,1.93,5.02,4.46
,,2.52,0.06,5.46,3.22,,2.52,0.06,5.46,3.22,,2.28,1.83,5.57,4.32
,,2.47,0.06,4.77,3.34,,2.47,0.06,4.77,3.34,,2.38,1.63,5.06,4.23
,,2.46,0.07,5.48,3.4,,2.46,0.07,5.48,3.4,,1.55,1.58,5.39,4.13
,,2.47,0.05,5.45,3.39,,2.47,0.05,5.45,3.39,,2.73,1.47,5.13,4.06
,,2.48,0.06,5.47,3.38,,2.48,0.06,5.47,3.38,,2.29,1.58,5.45,4
,,2.51,0.06,5.47,3.37,,2.51,0.06,5.47,3.37,,3.1,1.79,5.7,3.93
,,2.49,0.07,5.48,3.37,,2.49,0.07,5.48,3.37,,2.24,1.63,5.71,3.93
,,2.54,0.06,5.47,3.34,,2.54,0.06,5.47,3.34,,2.67,1.41,5.49,3.86
,,2.45,0.06,5.41,3.33,,2.45,0.06,5.41,3.33,,3.85,1.44,5.88,3.93
,,2.48,0.06,5.46,3.32,,2.48,0.06,5.46,3.32,,4.14,1.59,5.89,3.93
,,2.44,0.07,5.45,3.32,,2.44,0.07,5.45,3.32,,1.31,1.74,4.91,3.91
,,2.52,0.06,5.51,3.31,,2.52,0.06,5.51,3.31,,2.78,1.84,4.59,3.94
,,2.59,0.06,5.51,3.31,,2.59,0.06,5.51,3.31,,2.29,1.78,5.26,4.19
,,2.5,0.05,5.46,3.29,,2.5,0.05,5.46,3.29,,1.61,1.66,5.14,4.23
,,2.47,0.06,5.46,3.28,,2.47,0.06,5.46,3.28,,2.04,1.59,5.51,4.15
,,2.53,0.06,5.47,3.28,,2.53,0.06,5.47,3.28,,1.47,1.73,5.79,4.07
,,2.47,0.06,5.48,3.26,,2.47,0.06,5.48,3.26,,2.88,1.77,5.61,4.09
,,2.55,0.06,5.47,3.26,,2.55,0.06,5.47,3.26,,0,2.17,5.4,4.01
,,2.48,0.06,5.48,3.25,,2.48,0.06,5.48,3.25,,2.83,2.28,5.72,3.97
,,2.52,0.05,5.45,3.24,,2.52,0.05,5.45,3.24,,3.78,2.3,5.57,3.91
,,2.56,0.05,5.41,3.24,,2.56,0.05,5.41,3.24,,3.87,2.27,6.79,4.08
,,2.69,0.05,5.52,3.25,,2.69,0.05,5.52,3.25,,3.77,2.28,5.72,4.2
,,2.52,0.06,5.41,3.24,,2.52,0.06,5.41,3.24,,1.56,2.65,4.14,4.24
,,2.47,0.06,5.47,3.23,,2.47,0.06,5.47,3.23,,2.39,2.78,5.29,4.22
,,2.5,0.06,5.49,3.22,,2.5,0.06,5.49,3.22,,0.68,2.78,6.13,4.22
,,2.68,0.06,5.48,3.22,,2.68,0.06,5.48,3.22,,3.12,2.69,5.66,4.21
,,2.49,0.06,5.44,3.21,,2.49,0.06,5.44,3.21,,3.18,2.64,5.78,4.29
,,2.48,0.07,5.47,3.22,,2.48,0.07,5.47,3.22,,3.44,2.8,5.48,4.2
,,2.56,0.06,5.46,3.22,,2.56,0.06,5.46,3.22,,2.74,2.57,3.62,4.31
,,2.52,0.06,5.5,3.22,,2.52,0.06,5.5,3.22,,2.5,2.48,6.03,4.39
,,2.51,0.05,5.46,3.21,,2.51,0.05,5.46,3.21,,1.77,2.53,5.77,4.46
,,2.65,0.06,5.56,3.21,,2.65,0.06,5.56,3.21,,0.01,2.54,5.48,4.36
,,2.45,0.06,5.42,3.24,,2.45,0.06,5.42,3.24,,3.5,2.56,5.67,4.27
,,2.51,0.06,5.5,3.25,,2.51,0.06,5.5,3.25,,3.34,2.42,4.86,4.21
,,2.48,0.06,5.45,3.26,,2.48,0.06,5.45,3.26,,3.14,2.49,6.15,4.24
,,2.49,0.06,5.42,3.25,,2.49,0.06,5.42,3.25,,2.32,2.51,6.14,4.31
,,2.46,0.06,5.43,3.25,,2.46,0.06,5.43,3.25,,2.85,2.5,6.24,4.42
,,2.34,0.09,5.27,3.34,,2.34,0.09,5.27,3.34,,2.87,2.31,5.8,4.34
,,2.56,0.09,5.52,3.35,,2.56,0.09,5.52,3.35,,4.48,2.48,5.44,4.24
,,1.41,0.58,5.65,3.35,,1.41,0.58,5.65,3.35,,2.58,2.59,5.64,4.2
,,2.58,0.75,5.54,3.38,,2.58,0.75,5.54,3.38,,3.83,2.42,4.64,4.39
,,2.41,0.85,5.76,3.42,,2.41,0.85,5.76,3.42,,2.72,2.27,5.5,4.37
,,0.08,1.23,5.4,3.43,,0.08,1.23,5.4,3.43,,2.97,2.32,5.67,4.3
,,2.53,1.48,5.57,3.62,,2.53,1.48,5.57,3.62,,2.53,2.28,5.34,4.3
,,2.23,1.44,5.8,3.7,,2.23,1.44,5.8,3.7,,2.94,2.21,4.38,4.4
,,2.33,1.41,4.94,3.75,,2.33,1.41,4.94,3.75,,2.81,2.27,5.59,4.51
,,2.54,1.63,5.84,3.78,,2.54,1.63,5.84,3.78,,1.84,2.17,5.3,4.58
,,1.99,1.65,5.43,3.79,,1.99,1.65,5.43,3.79,,2.65,2.15,5.56,4.62
,,3.58,1.81,5.58,3.74,,3.58,1.81,5.58,3.74,,2.66,2.17,5.72,4.48
,,2,1.87,5.5,3.66,,2,1.87,5.5,3.66,,3.59,2.25,5.62,4.36
,,4.76,1.9,5.5,3.62,,4.76,1.9,5.5,3.62,,3.42,2.24,4.58,4.32
,,2.76,2.43,5.87,3.61,,2.76,2.43,5.87,3.61,,1.76,2.49,5.93,4.49
,,3.49,2.96,5.23,3.77,,3.49,2.96,5.23,3.77,,3.57,2.74,6.44,4.61
,,4.57,2.74,5.54,3.74,,4.57,2.74,5.54,3.74,,1.86,2.55,5.57,4.57
,,3.62,3.2,5.36,3.69,,3.62,3.2,5.36,3.69,,2.13,2.58,4.84,4.54
,,0,3.37,5.19,3.74,,0,3.37,5.19,3.74,,1.91,2.53,5.34,4.41
,,3.38,3.42,5.39,3.69,,3.38,3.42,5.39,3.69,,3.45,2.71,5.42,4.32
,,2.19,3.44,5.98,3.76,,2.19,3.44,5.98,3.76,,1.84,2.47,3.86,4.38
,,0.39,3.66,5.34,3.78,,0.39,3.66,5.34,3.78,,0.06,2.56,6.02,4.31
,,4.98,3.82,6.11,3.91,,4.98,3.82,6.11,3.91,,3.82,2.62,4.71,4.29
,,4.27,3.82,4.2,4.3,,4.27,3.82,4.2,4.3,,2.5,2.64,5.39,4.26
,,2.73,3.65,5.34,4.23,,2.73,3.65,5.34,4.23,,1.13,2.76,5.21,4.23
,,3.64,3.59,5.56,4.34,,3.64,3.59,5.56,4.34,,2.7,2.55,6.84,4.21
,,4.14,3.61,4.45,4.46,,4.14,3.61,4.45,4.46,,4.98,2.74,5.37,4.32
,,0,3.76,4.98,4.56,,0,3.76,4.98,4.56,,3.69,3.32,5.5,4.25
,,4.97,4.16,3.23,4.92,,4.97,4.16,3.23,4.92,,1.04,3.43,4.14,4.3
,,0.61,4.06,6.5,4.96,,0.61,4.06,6.5,4.96,,2.83,3.42,5.97,4.25
,,2.7,4.13,5.64,4.96,,2.7,4.13,5.64,4.96,,3.33,3,5.16,4.28
,,1.57,3.77,6.03,4.85,,1.57,3.77,6.03,4.85,,2.14,2.73,5.27,4.37
,,2.2,3.54,5.51,4.89,,2.2,3.54,5.51,4.89,,0,2.96,5.47,4.36
,,2.46,3.5,5.73,4.72,,2.46,3.5,5.73,4.72,,1.38,2.93,5.79,4.35
,,1.61,3.31,4.74,4.61,,1.61,3.31,4.74,4.61,,1.14,2.81,5.5,4.18
,,2.27,3.26,6.08,4.56,,2.27,3.26,6.08,4.56,,2.16,2.92,5.53,4.12
,,4.02,3.31,5.56,4.61,,4.02,3.31,5.56,4.61,,2.28,3.04,5.24,4.05
,,3.9,3.26,3.59,4.61,,3.9,3.26,3.59,4.61,,0,2.98,4.69,4.15
,,1.01,3.29,5.77,4.66,,1.01,3.29,5.77,4.66,,1.99,2.72,4.97,4.27
,,3.83,3.26,5.7,4.56,,3.83,3.26,5.7,4.56,,2.28,2.45,6.55,4.35
,,2.71,3.31,5.62,4.56,,2.71,3.31,5.62,4.56,,1.28,2.38,5.39,4.35
,,3.01,3.4,5.47,4.46,,3.01,3.4,5.47,4.46,,4.85,2.54,5.86,4.3
,,2.24,3.24,5.55,4.41,,2.24,3.24,5.55,4.41,,1.74,2.55,5.75,4.29
,,1.97,3.11,5.6,4.41,,1.97,3.11,5.6,4.41,,2.81,2.75,5.39,4.24
,,1.44,3.19,5.9,4.34,,1.44,3.19,5.9,4.34,,2.98,2.38,5.89,4.23
,,1.11,3.43,4.67,4.3,,1.11,3.43,4.67,4.3,,0.88,2.44,5.46,4.2
,,3.98,3.42,4.45,4.29,,3.98,3.42,4.45,4.29,,2.97,2.31,6.25,4.26
,,3.62,3.59,5.4,4.31,,3.62,3.59,5.4,4.31,,3.57,2.52,5.98,4.31
,,1.86,3.35,5.33,4.23,,1.86,3.35,5.33,4.23,,4.38,2.81,6.06,4.38
,,2.26,3.3,6.78,4.21,,2.26,3.3,6.78,4.21,,1.58,2.68,5.57,4.4
,,0,3.22,6.05,4.37,,0,3.22,6.05,4.37,,2.04,2.86,5.51,4.28
