Raw Ext Mean,Env Ext Mean,Raw Flex Mean,Env Flex Mean,Raw Ext Var,Env Ext Var,Raw Flex Var,Env Flex Var
2.5,2.56,2.48,0.67,0.17,0.63,0.11,0.04
2.48,4.37,2.52,1.34,0.29,0.62,0.6,0.07
2.49,4.74,2.39,1.97,0.41,0.01,0.85,0.05
2.49,3.99,2.35,1.93,0.33,0.15,0.44,0.02
2.5,2.7,2.45,1.53,0.28,0.17,0.25,0.04
2.53,1.93,2.46,0.99,0.25,0.02,0.15,0.02
2.53,1.63,2.43,0.88,0.19,0.01,0.18,0.01
2.51,1.39,2.46,0.88,0.14,0.02,0.21,0.01
2.5,1.01,2.53,0.76,0.08,0.02,0.1,0
2.53,0.71,2.5,0.62,0.04,0.03,0.02,0
2.51,0.94,2.46,0.86,0.12,0.1,0.04,0.04
2.52,0.97,2.46,1.21,0.13,0.08,0.08,0.06
2.55,0.75,2.47,1.04,0.07,0,0.09,0.02
2.53,0.8,2.48,0.82,0.05,0,0.07,0
2.51,0.7,2.48,0.83,0.04,0,0.04,0
2.5,0.61,2.47,0.78,0.05,0,0.05,0
2.53,0.51,2.48,0.69,0.05,0,0.03,0
2.54,0.43,2.5,0.63,0.04,0,0.03,0
2.54,0.47,2.51,0.6,0.08,0.04,0.03,0
2.53,0.85,2.47,0.71,0.17,0.05,0.05,0.03
2.52,1.09,2.49,1.01,0.27,0.02,0.12,0.03
2.53,0.94,2.46,1.45,0.26,0.01,0.18,0.03
2.51,0.78,2.4,1.6,0.2,0.01,0.19,0.05
2.53,0.71,2.48,1.18,0.19,0.01,0.16,0.04
2.55,0.69,2.51,0.86,0.15,0.01,0.1,0.01
2.53,0.67,2.51,0.96,0.14,0.01,0.1,0.01
2.53,0.59,2.51,1.12,0.14,0.02,0.07,0
2.49,0.51,2.48,1.2,0.21,0.02,0.02,0.01
2.45,1.02,2.49,1.55,0.55,0.03,0.02,0.01
2.51,1.48,2.49,1.9,0.68,0.03,0.01,0.01
2.54,1.29,2.48,1.91,0.43,0.01,0.01,0
2.51,1.08,2.48,1.68,0.32,0.01,0.01,0.01
2.5,1,2.49,1.25,0.36,0.01,0.01,0.02
2.53,1.06,2.49,0.85,0.42,0.02,0.01,0.01
2.55,1.16,2.49,0.65,0.51,0.02,0.01,0
2.55,1.16,2.49,0.55,0.48,0.04,0.02,0
2.55,0.85,2.48,0.53,0.22,0.06,0.02,0
2.54,1.67,2.5,0.71,0.09,0.1,0.05,0.01
2.51,2.07,2.51,0.97,0.11,0.35,0.08,0.02
2.5,0.95,2.48,1.36,0.09,0.28,0.16,0.03
2.52,0.46,2.45,1.73,0.08,0.01,0.24,0.03
2.54,0.45,2.48,1.77,0.05,0,0.19,0.01
2.51,0.49,2.5,1.64,0.06,0,0.17,0.01
2.51,0.48,2.48,1.56,0.08,0,0.23,0.01
2.54,0.46,2.49,1.55,0.06,0,0.25,0.02
2.54,0.56,2.54,1.34,0.08,0.03,0.16,0.06
2.51,1.26,2.52,0.88,0.49,0.11,0.06,0.04
2.53,1.87,2.49,0.89,0.8,0.11,0.01,0.01
2.58,3.07,2.5,1.36,0.59,0.37,0.01,0.01
2.58,4.37,2.49,1.52,0.43,0.44,0.01,0.01
2.5,3.36,2.48,1.32,0.6,0.2,0.01,0.01
2.48,1.73,2.48,1.02,0.58,0.11,0.01,0.01
2.55,1.12,2.48,0.8,0.33,0.02,0.01,0.01
2.55,0.9,2.49,0.62,0.22,0.03,0.01,0
2.56,0.68,2.49,0.68,0.13,0.03,0.05,0.02
2.53,1.95,2.48,0.92,0.29,1.12,0.08,0.02
2.48,4.03,2.48,1.08,0.43,1.14,0.07,0
2.49,4.45,2.47,0.97,0.23,0.34,0.04,0.01
2.54,2.66,2.47,0.67,0.11,0.38,0.02,0.01
2.56,0.95,2.48,0.57,0.15,0.06,0.02,0
2.54,0.67,2.48,0.65,0.18,0.01,0.02,0
2.53,0.58,2.49,0.69,0.15,0,0.02,0
2.52,0.54,2.49,0.64,0.1,0,0.01,0
2.52,1.07,2.49,0.73,0.13,0.29,0.05,0.01
2.51,2.01,2.48,0.96,0.15,0.3,0.08,0.03
2.54,2.19,2.47,1.04,0.48,0.09,0.15,0.03
2.57,2.17,2.47,1.19,0.63,0.13,0.23,0.03
2.54,2.49,2.47,1.39,0.54,0.09,0.27,0.01
2.52,2.36,2.45,1.42,0.55,0.04,0.29,0.01
2.49,1.95,2.46,1.34,0.42,0.02,0.21,0.01
2.5,1.77,2.52,1.22,0.26,0.01,0.13,0
2.53,1.46,2.53,1.17,0.09,0.03,0.14,0
2.53,1.13,2.42,1.12,0.26,0.07,0.22,0.01
2.51,1.42,2.47,1.5,0.5,0.06,0.46,0.05
2.53,1.46,2.61,1.91,0.39,0.05,0.51,0.04
2.52,1.05,2.56,1.77,0.27,0.05,0.3,0.02
2.52,1.04,2.52,1.38,0.28,0.02,0.21,0.03
2.55,1.24,2.57,1.07,0.26,0.01,0.19,0.01
2.56,1.37,2.51,0.96,0.26,0.01,0.2,0.01
2.58,1.25,2.42,0.88,0.2,0.03,0.15,0.01
2.57,0.8,2.45,0.74,0.08,0.03,0.06,0.01
2.52,0.94,2.48,0.7,0.06,0.06,0.03,0.03
2.51,1.05,2.47,0.91,0.1,0.05,0.05,0.04
2.54,0.64,2.49,0.96,0.06,0,0.07,0.02
2.54,0.48,2.5,0.87,0.05,0,0.07,0.01
2.53,0.34,2.51,0.85,0.04,0,0.05,0
2.55,0.29,2.53,1.01,0.04,0,0.15,0.02
2.52,0.32,2.55,1.17,0.05,0,0.24,0.03
2.5,0.33,2.54,1.13,0.04,0,0.17,0.01
2.53,0.38,2.5,0.97,0.14,0.04,0.13,0.02
2.55,1.44,2.48,0.89,0.66,0.21,0.08,0.04
2.58,2.21,2.49,1.36,0.91,0.21,0.01,0.04
2.6,2.22,2.5,1.88,0.7,0.56,0.01,0.01
2.62,3.59,2.5,1.95,0.55,0.52,0.01,0
2.59,4.28,2.49,1.76,0.4,0.16,0.01,0.01
2.51,2.9,2.49,1.42,0.35,0.28,0.01,0.01
2.48,1.5,2.49,1.05,0.3,0.14,0,0.01
2.51,0.88,2.49,0.82,0.24,0.01,0,0
2.56,0.73,2.49,0.64,0.22,0.02,0,0.01
2.51,1.41,2.49,0.55,0.36,0.1,0.02,0.01
2.51,3.07,2.49,0.72,0.54,0.16,0.03,0.01
2.61,3.57,2.48,0.94,0.43,0.18,0.01,0.01
2.55,2.62,2.49,0.75,0.45,0.12,0.01,0.01
2.48,1.88,2.49,0.46,0.54,0.02,0.01,0.01
2.54,1.51,2.49,0.48,0.42,0.02,0.01,0
2.53,1.25,2.47,0.63,0.34,0.02,0.06,0.01
2.53,1.03,2.46,0.73,0.34,0.02,0.08,0.01
2.58,1.26,2.48,0.69,0.34,1.26,0.06,0.01
2.54,3.17,2.49,0.7,0.32,1.28,0.05,0.01
2.47,4.75,2.49,0.81,0.53,0.03,0.03,0.01
2.5,3.96,2.48,0.9,0.7,0.36,0.04,0
2.53,2.23,2.48,0.86,0.55,0.38,0.03,0
2.48,1.31,2.48,0.74,0.42,0.03,0.02,0
2.48,1.39,2.48,0.62,0.39,0.02,0.01,0
2.55,1.39,2.48,0.47,0.28,0.02,0.01,0
2.54,1.17,2.48,0.42,0.27,0.02,0.01,0
2.51,1.68,2.48,0.53,0.25,1.12,0.1,0.04
2.51,3.54,2.57,1.36,0.45,1.13,0.37,0.16
2.5,4.7,2.55,2.41,0.53,0.04,0.41,0.15
2.49,3.86,2.47,2.83,0.45,0.13,0.24,0.05
2.53,2.57,2.48,2.4,0.59,0.13,0.19,0.07
2.51,1.95,2.48,1.47,0.48,0.06,0.21,0.08
2.53,1.62,2.46,0.92,0.37,0.05,0.19,0.04
2.58,1.41,2.4,0.73,0.34,0.01,0.13,0
2.53,1.19,2.45,0.69,0.2,0.01,0.09,0.01
2.53,0.95,2.5,0.55,0.12,0.09,0.03,0.01
2.53,1.14,2.49,0.71,0.18,0.2,0.03,0.02
2.56,1.08,2.48,0.96,0.2,0.11,0.06,0.04
2.56,0.74,2.49,0.85,0.13,0,0.05,0.02
2.51,0.64,2.5,0.79,0.1,0,0.04,0.01
2.51,0.58,2.49,0.78,0.09,0,0.03,0
2.53,0.55,2.5,0.69,0.07,0,0.01,0
2.51,0.45,2.5,0.59,0.05,0,0.01,0
2.53,0.38,2.49,0.54,0.06,0,0.01,0
2.56,0.59,2.48,0.59,0.26,0.22,0.03,0.01
2.64,2.14,2.48,0.73,0.8,0.75,0.07,0.01
2.63,4.1,2.48,0.81,0.82,0.54,0.06,0.01
2.48,4.75,2.48,0.92,0.46,0.01,0.04,0.01
2.47,4.14,2.49,0.94,0.36,0.67,0.04,0
2.47,2.38,2.5,0.77,0.31,0.69,0.03,0
2.47,1.46,2.49,0.64,0.29,0.04,0.03,0
2.54,1.7,2.49,0.55,0.2,0.02,0.03,0
2.54,1.72,2.49,0.47,0.2,0.03,0.02,0
2.48,3.09,2.48,0.41,0.32,0.19,0.01,0
2.55,4.6,2.49,0.7,0.59,0.17,0.01,0.03
2.65,4.68,2.48,1.06,0.74,0.03,0.02,0.03
2.61,3.94,2.48,1.07,0.69,0.12,0.01,0
2.55,2.59,2.48,0.93,0.49,0.12,0.01,0.01
2.51,1.66,2.48,0.74,0.31,0.04,0.01,0.01
2.5,1.25,2.48,0.55,0.25,0.01,0.01,0
2.53,1.03,2.49,0.43,0.27,0.02,0.01,0
2.55,0.92,2.49,0.39,0.32,0.02,0.01,0
2.54,0.86,2.48,0.59,0.22,0.01,0.06,0.07
2.64,2.52,2.49,1.1,0.28,0.56,0.13,0.08
2.57,4.48,2.49,1.69,0.4,0.57,0.11,0.01
2.45,4.49,2.49,1.63,0.3,0.34,0.04,0.05
2.52,3.61,2.49,0.98,0.21,0.45,0.03,0.04
2.51,3.61,2.5,0.67,0.22,0.14,0.02,0
2.49,4.01,2.49,0.67,0.25,0.04,0.02,0
2.56,3.39,2.47,0.66,0.27,0.05,0.02,0
2.59,2.84,2.47,0.67,0.24,0.04,0.01,0
2.51,3.65,2.48,0.77,0.47,0.07,0.01,0.01
2.5,4.36,2.49,1.15,0.59,0.17,0.01,0.01
2.53,3.04,2.5,1.48,0.44,0.24,0.04,0.01
2.48,1.57,2.48,1.36,0.38,0.13,0.04,0.01
2.53,1.16,2.47,1,0.34,0.02,0.01,0.01
2.57,1.2,2.46,0.68,0.51,0.02,0.01,0
2.57,1.21,2.44,0.67,0.51,0.02,0.08,0.01
2.58,1.09,2.46,0.65,0.29,0.01,0.08,0.02
2.55,0.93,2.48,0.46,0.17,0.01,0.02,0
2.56,0.9,2.49,0.67,0.18,0.02,0.08,0.06
2.56,2.52,2.49,1.25,0.32,0.54,0.15,0.09
2.5,4,2.48,1.76,0.29,1.09,0.1,0.03
2.51,2.83,2.49,1.71,0.19,0.59,0.04,0.02
2.57,1.9,2.51,1.11,0.23,0.02,0.03,0.03
2.55,1.94,2.5,0.66,0.26,0.01,0.03,0.01
2.56,1.77,2.48,0.52,0.28,0.01,0.03,0
2.56,1.67,2.49,0.51,0.31,0.01,0.02,0
2.55,1.61,2.48,0.49,0.24,0.01,0.02,0
2.53,1.95,2.47,0.49,0.17,0.08,0.03,0.01
2.53,2.49,2.46,0.82,0.28,0.11,0.14,0.01
2.52,2.73,2.47,1.5,0.31,0.13,0.15,0.08
2.49,2.04,2.52,2.01,0.21,0.19,0.08,0.09
2.49,1.09,2.51,1.65,0.19,0.11,0.07,0.06
2.51,1.15,2.49,0.87,0.24,0.03,0.04,0.04
2.49,1.55,2.48,0.62,0.27,0.03,0.04,0.01
2.49,1.58,2.51,0.72,0.27,0.01,0.03,0
2.53,1.39,2.52,0.78,0.26,0.02,0.02,0
2.5,1.14,2.49,0.93,0.28,0.03,0.01,0.02
2.52,1.3,2.48,1.64,0.48,0.08,0.01,0.07
2.56,1.67,2.48,2.2,0.6,0.1,0.01,0.08
2.52,2.33,2.48,1.67,0.48,0.08,0.01,0.07
2.53,2.55,2.48,0.83,0.36,0.11,0.01,0.04
2.58,1.9,2.48,0.45,0.44,0.08,0.01,0.01
2.55,1.38,2.49,0.37,0.49,0.02,0.01,0
2.54,1.08,2.49,0.33,0.41,0.03,0.01,0
2.57,0.88,2.49,0.32,0.31,0.04,0,0
2.55,0.62,2.49,0.37,0.15,0.05,0.01,0
2.55,1.29,2.49,0.77,0.09,0.09,0.14,0.03
2.53,1.67,2.47,1.39,0.11,0.14,0.2,0.05
2.5,0.97,2.49,1.73,0.12,0.09,0.22,0.03
2.53,0.76,2.49,1.62,0.1,0,0.28,0.02
2.53,0.82,2.46,1.31,0.08,0,0.24,0.01
2.5,0.86,2.49,1.15,0.08,0,0.15,0
2.51,0.83,2.5,1.16,0.06,0,0.2,0.01
2.49,0.88,2.47,1.16,0.17,0.07,0.2,0.02
2.53,1.77,2.5,0.91,0.67,0.3,0.07,0.02
2.57,3.65,2.5,0.74,0.68,0.24,0.05,0.01
2.51,4.75,2.47,0.77,0.26,0.01,0.05,0.01
2.45,4.36,2.47,0.77,0.24,0.41,0.04,0
2.49,2.55,2.48,0.73,0.24,0.46,0.03,0
2.55,1.17,2.5,0.65,0.27,0.08,0.02,0
2.52,1.35,2.49,0.55,0.29,0.03,0.02,0
2.48,1.41,2.48,0.49,0.23,0.01,0.02,0
2.48,1.26,2.49,0.51,0.26,0.09,0.02,0.07
2.5,2.74,2.5,0.66,0.21,0.25,0.02,0.11
2.5,3.13,2.5,0.87,0.16,0.24,0,0.12
2.5,2.34,2.49,1.23,0.51,0.14,0.01,0.07
2.49,2.04,2.48,1.37,0.72,0.12,0.02,0.01
2.45,1.21,2.48,1.06,0.52,0.05,0.01,0.01
2.45,1.02,2.48,0.78,0.38,0.01,0.01,0.01
2.45,0.94,2.49,0.62,0.3,0,0.01,0
2.51,0.96,2.48,0.55,0.27,0.01,0.01,0
2.53,0.96,2.47,0.48,0.24,0.03,0.01,0
2.51,0.94,2.47,0.43,0.22,0.07,0.01,0
2.57,1.85,2.48,0.55,0.53,0.16,0.03,0.01
2.55,3.46,2.49,0.97,0.68,0.14,0.04,0.02
2.49,3.79,2.48,1.14,0.69,0.09,0.03,0.03
2.46,2.83,2.48,0.75,0.72,0.08,0.01,0.02
2.48,2.02,2.48,0.56,0.47,0.05,0.01,0
2.54,1.64,2.48,0.73,0.44,0.06,0.01,0
2.57,1.33,2.47,0.84,0.39,0.04,0.01,0
2.59,1.17,2.47,0.87,0.33,0.02,0.01,0
2.55,0.9,2.48,0.86,0.22,0.03,0.01,0
2.52,0.93,2.49,1.02,0.17,0.1,0,0.04
2.57,1.4,2.49,1.4,0.38,0.1,0.01,0.04
2.59,1.81,2.48,1.33,0.42,0.29,0.01,0.03
2.61,2.59,2.48,0.79,0.44,0.31,0.01,0.03
2.58,2.69,2.49,0.51,0.43,0.06,0.02,0
2.51,1.82,2.49,0.48,0.33,0.08,0.01,0
2.53,1.11,2.49,0.49,0.32,0.05,0.01,0
2.54,0.75,2.49,0.5,0.24,0.01,0,0
2.51,0.64,2.5,0.58,0.13,0.03,0.02,0.02
2.5,0.95,2.5,0.89,0.23,0.03,0.04,0.02
2.53,1.19,2.49,0.96,0.36,0.01,0.04,0.01
2.56,1.23,2.49,0.7,0.37,0.01,0.03,0.02
2.48,1.24,2.49,0.58,0.48,0.02,0.03,0.01
2.41,1.12,2.48,0.52,0.48,0.03,0.02,0.01
2.48,0.99,2.48,0.47,0.28,0.03,0.01,0
2.53,0.89,2.48,0.47,0.25,0.02,0.02,0
2.53,0.96,2.48,0.44,0.31,0.02,0.01,0
2.52,0.99,2.48,0.36,0.27,0.02,0.01,0
2.51,1.12,2.48,0.32,0.33,0.03,0,0
2.53,1.61,2.48,0.43,0.48,0.03,0.02,0
2.53,1.63,2.48,0.47,0.49,0.03,0.03,0
2.56,1.15,2.49,0.42,0.36,0.03,0.01,0
2.56,1.02,2.48,0.46,0.35,0.02,0.02,0.01
2.53,1.05,2.47,0.53,0.38,0.02,0.03,0.01
2.51,0.98,2.48,0.6,0.34,0.01,0.03,0.01
2.48,0.84,2.49,0.56,0.26,0.02,0.02,0.01
2.54,0.83,2.49,0.67,0.25,0.05,0.03,0.01
2.65,2.75,2.47,1.03,0.33,0.16,0.06,0.05
2.52,4.66,2.45,1.82,0.52,0.13,0.06,0.07
2.42,4.74,2.48,2.21,0.51,0,0.05,0.06
2.49,3.38,2.48,1.52,0.3,0.34,0.04,0.06
2.55,1.83,2.48,0.85,0.36,0.4,0.04,0.02
2.6,2,2.49,0.6,0.34,0.06,0.03,0
2.52,2.32,2.48,0.52,0.3,0.01,0.02,0
2.47,2.71,2.48,0.42,0.24,0.52,0.01,0
2.54,3.95,2.48,0.4,0.15,0.52,0.01,0
2.57,4.74,2.49,0.68,0.15,0.01,0.05,0.02
2.54,4.53,2.49,0.71,0.14,0.05,0.05,0.02
2.58,3.75,2.49,0.48,0.14,0.1,0.02,0
2.57,2.71,2.47,0.46,0.14,0.07,0.02,0
2.53,1.88,2.46,0.53,0.13,0.04,0.02,0
2.53,1.34,2.49,0.64,0.13,0.02,0.06,0.01
2.5,1.11,2.49,0.67,0.11,0,0.06,0.01
2.52,1.1,2.48,0.62,0.24,0.04,0.02,0.01
2.52,1.84,2.48,0.66,0.84,0.09,0.03,0.01
2.51,2.52,2.48,0.79,1,0.08,0.03,0.02
2.53,2.4,2.49,1.06,0.83,0.06,0.03,0.02
2.58,1.97,2.48,0.97,0.66,0.03,0.01,0.02
2.57,1.64,2.49,0.55,0.53,0.02,0.01,0.01
2.5,1.49,2.49,0.37,0.64,0.03,0.01,0
2.51,1.4,2.48,0.38,0.64,0.01,0.01,0
2.55,1.25,2.47,0.47,0.52,0.02,0.01,0
2.53,0.8,2.47,0.52,0.2,0.04,0.01,0
2.52,1.46,2.47,0.63,0.14,0.24,0.03,0.02
2.51,1.87,2.47,0.81,0.15,0.43,0.05,0.02
2.5,0.85,2.48,0.77,0.07,0.22,0.04,0.01
2.49,0.41,2.49,0.63,0.07,0.01,0.03,0.01
2.49,0.49,2.48,0.65,0.06,0,0.03,0
2.52,0.48,2.48,0.73,0.05,0,0.03,0
2.54,0.44,2.49,0.75,0.05,0,0.02,0
2.53,0.46,2.49,0.7,0.04,0,0.02,0
2.53,0.68,2.49,0.54,0.1,0.04,0.01,0
2.6,1.64,2.49,0.69,0.68,0.16,0.01,0.02
2.64,1.8,2.48,1.05,0.66,0.17,0.01,0.02
2.57,1.42,2.48,1.09,0.28,0.18,0.01,0
2.5,2.1,2.49,0.88,0.47,0.16,0.01,0.01
2.45,2.14,2.49,0.59,0.6,0.08,0,0.01
